Date,Open,High,Low,Close,Volume,Quote Volume
2017-11-30 00:00,5.72,5.73,5.72,5.73,0,0
2017-11-30 01:00,5.73,5.73,5.73,5.73,0,0
2017-11-30 02:00,5.73,5.73,5.73,5.73,0,0
2017-11-30 03:00,5.73,5.73,5.73,5.73,0,0
2017-11-30 04:00,5.73,5.73,5.73,5.73,0,0
2017-11-30 05:00,5.73,5.73,5.73,5.73,0,0
2017-11-30 06:00,5.73,5.73,5.73,5.73,0,0
2017-11-30 07:00,5.73,5.73,5.73,5.73,0,0
2017-11-30 08:00,5.73,5.73,5.73,5.73,0,0
2017-11-30 09:00,5.73,5.73,5.73,5.73,0,0
2017-11-30 10:00,5.73,5.73,5.73,5.73,0,0
2017-11-30 11:00,5.73,5.73,5.73,5.73,0,0
2017-11-30 12:00,5.73,8.43,5.56,7.84,4935021,39514335.54
2017-11-30 13:00,7.84,7.84,6.63,6.78,5152867,36644190.75
2017-11-30 14:00,6.78,7.56,6.69,7.46,8255030,59528433.21
2017-11-30 15:00,7.46,7.46,6.9,7.13,6732700,47965564.48
2017-11-30 16:00,7.13,7.6,7.08,7.32,8447119,61759215.24
2017-11-30 17:00,7.32,7.85,7.23,7.83,6529292,48677413.71
2017-11-30 18:00,7.83,7.85,7.27,7.36,5995407,45306495.8
2017-11-30 19:00,7.36,7.64,7.36,7.51,5150636,38741822.54
2017-11-30 20:00,7.51,7.51,7.1,7.28,6012056,43783901.54
2017-11-30 21:00,7.28,7.72,7.27,7.47,5001923,37174170.89
2017-11-30 22:00,7.47,7.95,7.44,7.86,6571132,50420682.76
2017-11-30 23:00,7.86,8.29,7.72,7.72,5515638,44079830.35
2017-12-01 00:00,7.72,7.73,7.45,7.55,5005362,37879609.51
2017-12-01 01:00,7.55,7.62,7.34,7.62,8088153,60477692.57
2017-12-01 02:00,7.62,7.71,7.51,7.69,9068726,68801977.51
2017-12-01 03:00,7.69,7.69,7.42,7.46,5897892,44249720.33
2017-12-01 04:00,7.46,7.66,7.42,7.62,4591606,34736674.77
2017-12-01 05:00,7.62,7.62,7.39,7.44,4192372,31382052.99
2017-12-01 06:00,7.44,7.48,7.32,7.33,6787568,50340562.5
2017-12-01 07:00,7.33,7.45,7.31,7.41,5355580,39566373.11
2017-12-01 08:00,7.41,7.66,7.4,7.6,5706618,43103882.34
2017-12-01 09:00,7.6,7.72,7.58,7.59,4453580,34014412.26
2017-12-01 10:00,7.59,7.69,7.53,7.57,6127291,46575187.12
2017-12-01 11:00,7.57,7.96,7.57,7.85,5431029,42345217.2
2017-12-01 12:00,7.85,8.34,7.84,8.11,5573963,45293103.5
2017-12-01 13:00,8.11,8.22,7.92,7.99,3983499,32260752.49
2017-12-01 14:00,7.99,8.23,7.96,8.21,7066467,57451461.31
2017-12-01 15:00,8.21,8.33,8.03,8.09,6657124,54175961.37
2017-12-01 16:00,8.09,8.28,8.07,8.18,6892984,56436529.38
2017-12-01 17:00,8.18,8.18,8.01,8.05,6715812,54304672.98
2017-12-01 18:00,8.05,8.1,8.0,8.02,5655621,45629705.45
2017-12-01 19:00,8.02,8.2,8.02,8.13,4546032,36977170.98
2017-12-01 20:00,8.13,8.33,8.13,8.27,3970614,32700318.61
2017-12-01 21:00,8.27,8.38,8.21,8.35,3521039,29180404.39
2017-12-01 22:00,8.35,8.47,8.33,8.42,5492025,46101629.23
2017-12-01 23:00,8.42,8.58,8.29,8.54,5297793,44477345.95
2017-12-02 00:00,8.54,8.56,8.38,8.44,4970509,42265998.69
2017-12-02 01:00,8.44,8.85,8.42,8.82,5069408,43939939.81
2017-12-02 02:00,8.82,8.86,8.71,8.81,6128931,53812547.38
2017-12-02 03:00,8.81,8.81,8.68,8.76,7561229,66075371.95
2017-12-02 04:00,8.76,8.79,8.65,8.78,6816570,59546456.28
2017-12-02 05:00,8.78,8.78,8.62,8.68,6629975,57658308.46
2017-12-02 06:00,8.68,8.71,8.46,8.58,4778314,41196786.29
2017-12-02 07:00,8.58,8.71,8.5,8.68,2778418,23930399.64
2017-12-02 08:00,8.68,8.82,8.64,8.73,4816352,42188702.81
2017-12-02 09:00,8.73,8.9,8.73,8.9,3841384,33821917.08
2017-12-02 10:00,8.9,8.95,8.82,8.85,3906581,34677489.94
2017-12-02 11:00,8.85,8.85,8.49,8.63,4825620,41617406.68
2017-12-02 12:00,8.63,8.79,8.63,8.78,2685735,23306946.83
2017-12-02 13:00,8.78,8.85,8.64,8.65,6884693,60185376.45
2017-12-02 14:00,8.65,8.84,8.38,8.58,4736154,40946019.77
2017-12-02 15:00,8.58,8.64,8.4,8.42,3479119,29553296.93
2017-12-02 16:00,8.42,8.51,8.35,8.45,3536542,29713294.85
2017-12-02 17:00,8.45,8.64,8.42,8.63,4031763,34473160.69
2017-12-02 18:00,8.63,8.71,8.58,8.59,2070950,17885479.58
2017-12-02 19:00,8.59,8.71,8.52,8.6,2091095,17967670.75
2017-12-02 20:00,8.6,8.68,8.57,8.64,2684698,23141627.48
2017-12-02 21:00,8.64,8.79,8.64,8.76,2336246,20406863.49
2017-12-02 22:00,8.76,8.77,8.64,8.69,2638449,22913597.96
2017-12-02 23:00,8.69,8.72,8.54,8.54,3801021,32760577.63
2017-12-03 00:00,8.54,8.64,8.47,8.52,3288673,28109061.09
2017-12-03 01:00,8.52,8.52,8.33,8.34,3057625,25757801.22
2017-12-03 02:00,8.34,8.38,8.15,8.27,2592273,21422562.85
2017-12-03 03:00,8.27,8.42,8.18,8.42,3299631,27375521.31
2017-12-03 04:00,8.42,8.47,8.26,8.34,3793121,31727486.1
2017-12-03 05:00,8.34,8.34,8.22,8.31,2272039,18826710.88
2017-12-03 06:00,8.31,8.48,8.28,8.45,5922987,49552731.28
2017-12-03 07:00,8.45,8.5,8.38,8.45,4542983,38474992.55
2017-12-03 08:00,8.45,8.48,8.43,8.46,3048489,25786648.74
2017-12-03 09:00,8.46,8.5,8.44,8.44,3579735,30328847.33
2017-12-03 10:00,8.44,8.59,8.42,8.56,3581690,30550028.36
2017-12-03 11:00,8.56,9.02,8.56,8.97,4426744,38534845.92
2017-12-03 12:00,8.97,9.0,8.76,8.81,2828424,25089628.49
2017-12-03 13:00,8.81,8.89,8.77,8.77,2623771,23140372.23
2017-12-03 14:00,8.77,8.78,8.52,8.59,5694959,49265442.67
2017-12-03 15:00,8.59,8.65,8.43,8.45,2995417,25578375.02
2017-12-03 16:00,8.45,8.62,8.4,8.58,5509844,46964825.76
2017-12-03 17:00,8.58,8.64,8.56,8.63,4846154,41620695.68
2017-12-03 18:00,8.63,8.82,8.62,8.82,5814495,50614112.03
2017-12-03 19:00,8.82,8.97,8.81,8.92,3594921,32023812.9
2017-12-03 20:00,8.92,8.97,8.45,8.51,5018142,44275517.06
2017-12-03 21:00,8.51,8.81,8.24,8.36,3343564,28436092.81
2017-12-03 22:00,8.36,8.54,8.1,8.47,3173492,26525426.36
2017-12-03 23:00,8.47,8.58,8.33,8.58,3263929,27706582.37
2017-12-04 00:00,8.58,8.58,8.38,8.39,3614571,30568486.95
2017-12-04 01:00,8.39,8.47,8.29,8.3,6410598,53668420.78
2017-12-04 02:00,8.3,8.57,8.22,8.55,2403599,19891077.84
2017-12-04 03:00,8.55,8.55,8.18,8.18,353453,2923795.84
2017-12-04 04:00,8.18,8.54,8.18,8.37,220165,1835243.44
