Date,Open,High,Low,Close,Volume,Quote Volume
2017-07-14 00:00,7.11,7.11,7.1,7.1,0,0
2017-07-14 01:00,7.1,7.1,7.1,7.1,0,0
2017-07-14 02:00,7.1,7.1,7.1,7.1,0,0
2017-07-14 03:00,7.1,7.1,7.1,7.1,0,0
2017-07-14 04:00,7.1,8.15,5.19,7.38,6853648,46399957.54
2017-07-14 05:00,7.38,7.38,5.86,6.6,1734798,11345320.63
2017-07-14 06:00,6.6,7.25,6.5,7.21,998661,7062819.07
2017-07-14 07:00,7.21,7.28,7.07,7.19,537448,3860692.21
2017-07-14 08:00,7.19,7.2,6.54,6.61,249900,1710051.79
2017-07-14 09:00,6.61,7.03,6.42,6.42,183871,1247088.94
2017-07-14 10:00,6.42,6.75,6.32,6.75,202839,1348581.73
2017-07-14 11:00,6.75,7.2,6.66,6.77,420888,2973490.49
2017-07-14 12:00,6.77,6.77,6.36,6.36,147640,945821.09
2017-07-14 13:00,6.36,6.86,6.36,6.45,208773,1361789.24
2017-07-14 14:00,6.45,6.45,6.3,6.35,185013,1170429.99
2017-07-14 15:00,6.35,6.36,6.09,6.16,122261,766260.22
2017-07-14 16:00,6.16,6.17,5.65,5.65,90915,534033.83
2017-07-14 17:00,5.65,5.93,5.65,5.93,6867,40057.32
2017-07-14 18:00,5.93,5.93,5.93,5.93,0,0
2017-07-14 19:00,5.93,5.93,5.65,5.65,37999,214979.46
2017-07-14 20:00,5.65,5.65,5.55,5.55,11643,64966.22
2017-07-14 21:00,5.55,5.57,5.55,5.57,113,629.67
2017-07-14 22:00,5.57,5.96,5.57,5.96,7090,41793.65
2017-07-14 23:00,5.96,5.96,5.51,5.51,156096,876281.21
2017-07-15 00:00,5.51,5.61,5.24,5.51,466082,2472482.7
2017-07-15 01:00,5.51,5.51,5.03,5.03,151338,777898.91
2017-07-15 02:00,5.03,5.26,4.51,4.51,164661,788351.5
2017-07-15 03:00,4.51,5.14,4.34,5.07,287974,1386609.42
2017-07-15 04:00,5.07,5.2,4.8,4.9,74465,371066.78
2017-07-15 05:00,4.9,4.9,4.65,4.75,19485,94420.7
2017-07-15 06:00,4.75,4.78,4.16,4.59,185369,791230.27
2017-07-15 07:00,4.59,5.07,4.55,5.01,143830,716402.07
2017-07-15 08:00,5.01,5.05,4.24,4.94,47974,222124.03
2017-07-15 09:00,4.94,5.24,4.41,5.22,312118,1538724.67
2017-07-15 10:00,5.22,5.27,5.05,5.14,423174,2186443.58
2017-07-15 11:00,5.14,5.2,5.01,5.02,517490,2661030.95
2017-07-15 12:00,5.02,5.02,4.72,5.01,211200,1032107.67
2017-07-15 13:00,5.01,5.16,4.96,5.1,213504,1083865.05
2017-07-15 14:00,5.1,5.1,4.94,5.08,146243,734169.77
2017-07-15 15:00,5.08,5.2,4.95,5.09,134507,686055.04
2017-07-15 16:00,5.09,5.22,5.09,5.19,10640,55323.43
2017-07-15 17:00,5.19,5.24,5.19,5.24,29665,154942.31
2017-07-15 18:00,5.24,5.3,5.14,5.3,46505,244518.08
2017-07-15 19:00,5.3,5.34,5.3,5.34,200,1067.29
2017-07-15 20:00,5.34,5.34,5.28,5.28,100,527.99
2017-07-15 21:00,5.28,5.28,5.18,5.24,2342,12209.18
2017-07-15 22:00,5.24,5.26,5.24,5.26,130,683.71
2017-07-15 23:00,5.26,5.26,4.88,4.88,21655,107905.7
2017-07-16 00:00,4.88,5.05,4.72,4.73,134666,651510.26
2017-07-16 01:00,4.73,5.1,4.73,5.08,181443,893857.75
2017-07-16 02:00,5.08,5.19,5.0,5.07,316212,1616051.43
2017-07-16 03:00,5.07,5.2,5.07,5.08,161158,832513.55
2017-07-16 04:00,5.08,5.43,5.08,5.43,582402,3029497.72
2017-07-16 05:00,5.43,5.46,5.27,5.27,95493,508667.52
2017-07-16 06:00,5.27,5.39,5.06,5.33,187790,972331.92
2017-07-16 07:00,5.33,5.41,5.26,5.41,106141,560768.14
2017-07-16 08:00,5.41,5.41,5.03,5.03,49886,257616.52
2017-07-16 09:00,5.03,5.3,4.98,4.98,52814,266039.28
2017-07-16 10:00,4.98,5.17,4.98,5.14,2459,12653.11
2017-07-16 11:00,5.14,5.14,4.85,4.85,56261,276915.26
2017-07-16 12:00,4.85,4.85,4.75,4.75,33141,157404.51
2017-07-16 13:00,4.75,4.87,4.68,4.8,163503,786992.85
2017-07-16 14:00,4.8,4.81,4.73,4.73,33600,159427.39
2017-07-16 15:00,4.73,4.8,4.73,4.8,10000,48025.49
2017-07-16 16:00,4.8,4.81,4.8,4.81,15855,76182.52
2017-07-16 17:00,4.81,4.81,4.81,4.81,0,0
2017-07-16 18:00,4.81,4.81,4.81,4.81,0,0
2017-07-16 19:00,4.81,4.81,4.81,4.81,0,0
2017-07-16 20:00,4.81,4.81,4.76,4.76,1600,7619.4
2017-07-16 21:00,4.76,4.76,4.71,4.71,18831,88707.63
2017-07-16 22:00,4.71,4.71,4.71,4.71,0,0
2017-07-16 23:00,4.71,4.92,4.71,4.85,6450,31733.54
2017-07-17 00:00,4.85,5.4,4.8,5.4,449621,2288351.68
2017-07-17 01:00,5.4,5.42,5.3,5.4,140238,745466.84
2017-07-17 02:00,5.4,5.4,5.07,5.16,31091,160346.41
2017-07-17 03:00,5.16,5.29,4.8,4.8,225003,1109736.83
2017-07-17 04:00,4.8,5.24,4.8,4.8,110263,534453.66
2017-07-17 05:00,4.8,5.61,4.8,5.58,562718,3018665.42
2017-07-17 06:00,5.58,5.59,5.45,5.59,27647,151395.84
2017-07-17 07:00,5.59,5.68,5.56,5.68,22914,127788.91
2017-07-17 08:00,5.68,5.68,5.57,5.57,15645,87311.1
2017-07-17 09:00,5.57,5.71,5.51,5.69,185416,1044989.6
2017-07-17 10:00,5.69,5.69,5.65,5.67,110010,623986.66
2017-07-17 11:00,5.67,5.67,5.48,5.48,67374,370886.96
2017-07-17 12:00,5.48,5.48,5.3,5.3,72533,386530.29
2017-07-17 13:00,5.3,5.33,5.3,5.33,2170,11559.24
2017-07-17 14:00,5.33,5.33,5.33,5.33,0,0
2017-07-17 15:00,5.33,5.5,5.33,5.5,9999,55027.14
2017-07-17 16:00,5.5,5.5,5.4,5.4,19968,108542.35
2017-07-17 17:00,5.4,5.72,5.4,5.72,397,2192.52
2017-07-17 18:00,5.72,5.76,5.72,5.75,7309,42080.31
2017-07-17 19:00,5.75,5.75,5.73,5.73,2000,11451.53
2017-07-17 20:00,5.73,5.73,5.73,5.73,0,0
2017-07-17 21:00,5.73,5.86,5.73,5.86,20826,121717.05
2017-07-17 22:00,5.86,5.86,5.86,5.86,0,0
2017-07-17 23:00,5.86,5.95,5.76,5.8,50881,296239.46
2017-07-18 00:00,5.8,5.8,5.69,5.69,6890,39234.92
