Date,Open,High,Low,Close,Volume,Quote Volume
2015-08-07 00:00,1780.97,1781.28,1780.97,1781.28,0,0
2015-08-07 01:00,1781.28,1781.28,1781.28,1781.28,0,0
2015-08-07 02:00,1781.28,1781.28,1781.28,1781.28,0,0
2015-08-07 03:00,1781.28,1781.28,1781.28,1781.28,0,0
2015-08-07 04:00,1781.28,1781.28,1781.28,1781.28,0,0
2015-08-07 05:00,1781.28,1781.28,1781.28,1781.28,0,0
2015-08-07 06:00,1781.28,1781.28,1781.28,1781.28,0,0
2015-08-07 07:00,1781.28,1781.28,1781.28,1781.28,0,0
2015-08-07 08:00,1781.28,1781.28,1781.28,1781.28,0,0
2015-08-07 09:00,1781.28,1781.28,1781.28,1781.28,0,0
2015-08-07 10:00,1781.28,1781.28,1781.28,1781.28,0,0
2015-08-07 11:00,1781.28,1781.28,136.37,181.59,2371.47,391655.45
2015-08-07 12:00,181.59,189.85,178.06,180.9,10554.64,1901265.19
2015-08-07 13:00,180.9,184.17,175.0,178.42,14159.64,2529658.25
2015-08-07 14:00,178.42,232.36,178.42,223.65,2816.62,617299.1
2015-08-07 15:00,223.65,226.84,220.58,223.76,2889.79,645650.5
2015-08-07 16:00,223.76,234.87,219.12,219.12,4847.5,1087304.64
2015-08-07 17:00,219.12,219.12,157.87,173.17,2824.4,527087.89
2015-08-07 18:00,173.17,182.06,162.17,163.32,1633.35,282913.0
2015-08-07 19:00,163.32,186.42,163.32,180.53,1818.76,324658.61
2015-08-07 20:00,180.53,180.53,178.14,178.8,1410.52,252121.53
2015-08-07 21:00,178.8,180.14,170.66,178.24,545.98,96270.65
2015-08-07 22:00,178.24,179.84,160.69,166.45,2629.64,430823.21
2015-08-07 23:00,166.45,178.39,166.45,176.24,305.24,54345.27
2015-08-08 00:00,176.24,181.29,176.24,178.48,891.02,159048.07
2015-08-08 01:00,178.48,178.48,178.18,178.18,1,178.17
2015-08-08 02:00,178.18,182.1,177.94,178.05,3291.87,593929.13
2015-08-08 03:00,178.05,185.77,161.14,169.19,4251.88,743185.87
2015-08-08 04:00,169.19,178.35,167.04,178.35,778.19,136025.74
2015-08-08 05:00,178.35,181.2,99.99,174.95,3892.0,571149.74
2015-08-08 06:00,174.95,185.85,104.02,177.76,5613.31,646741.88
2015-08-08 07:00,177.76,177.76,162.02,177.23,1145.46,192913.58
2015-08-08 08:00,177.23,183.88,160.58,163.28,1737.97,298890.21
2015-08-08 09:00,163.28,163.28,88.49,92.21,28221.78,3150215.94
